Semaine,Mois,Catégorie,Marque,Prix,Promotion,Réduction_%,Jour_férié,Météo,Ventes_S-1,Stock_début,Ventes
39,10,Boissons,Rani,1700,1,20,0,Nuageux,113,184,116
40,10,Hygiène,Nivea,1500,1,25,0,Ensoleillé,63,90,75
12,3,Électroménager,Hisense,155600,0,0,0,Ensoleillé,8,13,8
52,1,Alimentaire,Patisen,5000,1,20,0,Ensoleillé,92,177,76
9,3,Électroménager,Hisense,149200,0,0,0,Nuageux,7,11,9
50,1,Boissons,Coca-Cola,1500,0,0,0,Ensoleillé,111,245,90
34,9,Électroménager,Moulinex,188600,1,25,0,Ensoleillé,11,17,12
24,6,Électroménager,Samsung,195100,0,0,0,Ensoleillé,12,15,11
7,2,Alimentaire,Kirène,3500,0,0,0,Ensoleillé,85,168,75
42,11,Électroménager,Samsung,47600,1,15,0,Ensoleillé,4,6,6
24,6,Vêtements,Afriq Style,22100,1,10,0,Nuageux,49,104,42
14,4,Hygiène,Dove,1000,0,0,1,Ensoleillé,75,152,98
52,1,Vêtements,Dakar Mode,21100,0,0,0,Nuageux,22,44,19
6,2,Boissons,Gazelle,2100,0,0,0,Pluvieux,90,202,89
28,7,Alimentaire,Kirène,7000,0,0,0,Ensoleillé,91,169,122
9,3,Vêtements,Kantamanto,16500,0,0,0,Très chaud,20,37,23
41,11,Boissons,Kirène,2300,1,15,0,Ensoleillé,101,252,123
49,1,Électroménager,LG,137800,0,0,0,Très chaud,4,5,5
44,11,Électroménager,Moulinex,123500,0,0,0,Ensoleillé,6,10,5
48,12,Alimentaire,Kirène,2600,0,0,0,Pluvieux,42,62,47
26,7,Hygiène,Colgate,4000,1,15,0,Très chaud,113,234,97
25,7,Électroménager,LG,55300,0,0,0,Ensoleillé,9,16,8
49,1,Électroménager,Samsung,128700,1,20,0,Nuageux,6,14,6
24,6,Alimentaire,Daffé,6100,1,15,0,Pluvieux,106,128,101
25,7,Hygiène,Dove,3700,0,0,0,Nuageux,77,163,90
33,9,Vêtements,Dakar Mode,29100,1,30,0,Pluvieux,33,62,37
51,1,Vêtements,Afriq Style,13600,1,10,0,Nuageux,15,32,18
19,5,Boissons,Youki,1700,1,0,0,Très chaud,189,295,192
6,2,Hygiène,Dettol,1800,1,0,0,Nuageux,38,60,49
